Ref,Period,Ref_Period,"Cash, Demand & Fixed Deposits",Cash and Demand Deposits,Commercial Paper and Corporate Bonds,Fixed and Time Deposits,Guaranteed Funds,Immovable Property,Kenya Government Securities,Offshore Investments,Property Unit Trusts,Quoted Equity,Unquoted Equity,"Cash, Demand & Fixed Deposits - Income",Commercial Paper and Corporate Bonds - Income,Fixed and Time Deposits - Income,Guaranteed Funds - Income,Immovable Property - Income,Kenya Government Securities - Income,Offshore Investments - Income,Property Unit Trusts - Income,Quoted Equity - Income,Unquoted Equity - Income,"Cash, Demand & Fixed Deposit- RR",Commercial Paper and Corporate Bonds - RR,Guaranteed Funds - RR,Immovable Property - RR,Kenya Government Securities - RR,Offshore Investments - RR,Property Unit Trusts - RR,Quoted Equity - RR,Unquoted Equity - RR
1004,Dec-20,1004 44166,0,0,0,0,2995655,0,0,0,0,0,0,0,0,0,310994,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
1004,Dec-21,1004 44531,0,0,0,0,3236425,0,0,0,0,0,0,0,0,0,274894,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1004,Dec-22,1004 44896,0,0,0,0,3290988,0,0,0,0,0,0,0,0,0,204501,0,0,0,0,0,0,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00
1006,Dec-13,1006 41609,0,0,0,0,380953858,0,0,0,0,0,0,0,0,0,38619496,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
1006,Dec-14,1006 41974,0,0,0,0,482828843,0,0,0,0,0,0,0,0,0,48153239,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
1006,Dec-15,1006 42339,0,0,0,0,619272102,0,0,0,0,0,0,0,0,0,44331411,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1006,Dec-16,1006 42705,0,0,0,0,753876079,0,0,0,0,0,0,0,0,0,51833584,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1006,Dec-17,1006 43070,0,0,0,0,837470447,0,0,0,0,0,0,0,0,0,91096793,0,0,0,0,0,0,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00
1006,Dec-18,1006 43435,0,0,0,0,939438021,0,0,0,0,0,0,0,0,0,70032300,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1006,Dec-19,1006 43800,0,0,0,0,1044753859,0,0,0,0,0,0,0,0,0,94397102,0,0,0,0,0,0,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00
1006,Dec-20,1006 44166,0,0,0,0,981700229,0,0,0,0,0,0,0,0,0,85342862,0,0,0,0,0,0,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00
1006,Jun-21,1006 44348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1006,Dec-21,1006 44531,0,0,0,0,34136754,0,0,0,0,0,0,0,0,0,85262417,0,0,0,0,0,0,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00
1006,Dec-22,1006 44896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,687258,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1007,Dec-13,1007 41609,0,0,0,0,15052309,0,0,0,0,0,0,0,0,0,1640562,0,0,0,0,0,0,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00
1007,Dec-14,1007 41974,0,0,0,0,18301399,0,0,0,0,0,0,0,0,0,1884133,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
1007,Jun-15,1007 42156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1007,Dec-15,1007 42339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1007,Dec-16,1007 42705,0,0,0,0,23669612,0,0,0,0,0,0,0,0,0,1287510,0,0,0,0,0,0,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00
1007,Dec-17,1007 43070,0,0,0,0,28187110,0,0,0,0,0,0,0,0,0,2758519,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
1007,Jun-18,1007 43252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1007,Dec-18,1007 43435,0,0,0,0,31366613,0,0,0,0,0,0,0,0,0,1161845,0,0,0,0,0,0,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00
1007,Dec-19,1007 43800,0,0,0,0,35975830,0,0,0,0,0,0,0,0,0,2884139,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1007,Dec-20,1007 44166,0,0,0,0,38202386,0,0,0,0,0,0,0,0,0,2168287,0,0,0,0,0,0,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00
1007,Jun-21,1007 44348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1007,Dec-21,1007 44531,0,0,0,0,41265667,0,0,0,0,0,0,0,0,0,2694776,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1007,Dec-22,1007 44896,0,0,0,0,45700619,0,0,0,0,0,0,0,0,0,3326942,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1011,Dec-14,1011 41974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1011,Dec-15,1011 42339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1011,Dec-16,1011 42705,0,0,0,0,6709292,0,0,0,0,0,0,0,0,0,497164,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1011,Dec-17,1011 43070,0,0,0,0,6477239,0,0,0,0,0,0,0,0,0,942244,0,0,0,0,0,0,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00
1011,Dec-18,1011 43435,0,0,0,0,6138024,0,0,0,0,0,0,0,0,0,485393,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1011,Dec-19,1011 43800,0,0,0,0,5479869,0,0,0,0,0,0,0,0,0,549276,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
1011,Dec-20,1011 44166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1011,Dec-22,1011 44896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1012,Dec-13,1012 41609,0,0,0,0,87538324,0,0,0,0,0,0,0,0,0,8825237,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
1012,Dec-14,1012 41974,0,0,0,0,111630256,0,0,0,0,0,0,0,0,0,11149933,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
1012,Dec-15,1012 42339,0,0,0,0,132387875,0,0,0,0,0,0,0,0,0,9579204,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1012,Apr-16,1012 42461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1012,Dec-16,1012 42705,0,0,0,0,151195502,0,0,0,0,0,0,0,0,0,11841889,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1012,Dec-17,1012 43070,0,0,0,0,173535633,0,0,0,0,0,0,0,0,0,15394408,0,0,0,0,0,0,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00
1012,Dec-18,1012 43435,0,0,0,0,186354034,0,0,0,0,0,0,0,0,0,15656044,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1012,Dec-19,1012 43800,0,0,0,0,175809225,0,0,0,0,0,0,0,0,0,17707516,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
1012,Jun-20,1012 43983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1012,Dec-20,1012 44166,0,0,0,0,199745071,0,0,0,0,0,0,0,0,0,14183972,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1012,Dec-21,1012 44531,0,0,0,0,237959969,0,0,0,0,0,0,0,0,0,19277802,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1012,Dec-22,1012 44896,0,0,0,0,254264674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1013,Dec-14,1013 41974,64485125,0,82366572,64485125,0,0,310402194,0,0,226853416,0,5207265,7216388,0,0,0,33786831,0,0,7693871,0,0.08,0.09,0.00,0.00,0.11,0.00,0.00,0.03,0.00
1013,Dec-15,1013 42339,56031929,0,70156830,56031929,0,0,306227910,0,0,195013753,0,4883864,9416724,0,0,0,38841747,0,0,8554481,0,0.09,0.13,0.00,0.00,0.13,0.00,0.00,0.04,0.00
1013,Dec-16,1013 42705,12814012,0,68023437,12814012,0,0,326376422,0,0,107345277,0,2782099,7449873,0,0,0,41117876,0,0,10676892,0,0.22,0.11,0.00,0.00,0.13,0.00,0.00,0.10,0.00
1013,Dec-17,1013 43070,28860033,0,52681969,28860033,0,0,291574420,0,0,103462237,0,1889033,6755521,0,0,0,35221446,0,0,0,4624843,0.07,0.13,0.00,0.00,0.12,0.00,0.00,0.00,0.00
1013,Dec-18,1013 43435,30132775,30132775,45351543,0,0,0,333997076,0,0,89827944,0,1829037,5752278,0,0,0,36283399,0,0,4380963,0,0.06,0.13,0.00,0.00,0.11,0.00,0.00,0.05,0.00
1013,Dec-19,1013 43800,19544500,0,24419732,19544500,0,0,440386813.5,0,0,109612057.5,0,1937757,5246955,0,0,0,41888618,0,0,6261055,0,0.10,0.21,0.00,0.00,0.10,0.00,0.00,0.06,0.00
1013,Dec-20,1013 44166,36609123,0,0,36609123,0,0,483178629,0,0,100274647,0,1987707,1363762,0,0,0,52508326,0,0,4137369,0,0.05,0.00,0.00,0.00,0.11,0.00,0.00,0.04,0.00
1013,Dec-21,1013 44531,19867889,19867889,3012374,0,0,0,476230883,27207338,0,124018393,0,2129540,62373,0,0,0,57895190,0,0,4415783,0,0.11,0.02,0.00,0.00,0.12,0.00,0.00,0.04,0.00
1013,Dec-22,1013 44896,0,0,3013538,0,0,0,495980525,17450895,0,99567266,0,2015602,362540,0,0,0,60824606,0,0,7002949,0,0.00,0.12,0.00,0.00,0.12,0.00,0.00,0.07,0.00
1014,Dec-13,1014 41609,0,0,0,0,344733540,0,0,0,0,0,0,0,0,0,38848022,0,0,0,0,0,0,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00
1014,Dec-14,1014 41974,54057234,0,20128758,54057234,286667086,0,94487934,5887592,0,67853467,0,0,0,0,41483021,0,12096908,0,0,0,0,0.00,0.00,0.14,0.00,0.13,0.00,0.00,0.00,0.00
1014,Jan-15,1014 42005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1014,Dec-15,1014 42339,54963238,0,74077033,54963238,190420302,0,285360823,0,0,146120319,0,0,0,0,0,0,46494491,0,31448706,0,0,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00
1014,Dec-16,1014 42705,68067933,0,95399946,68067933,230349172,0,334846224,0,0,152208813,0,4614922,7838604,0,13875608,0,45935424,0,0,6158229,0,0.07,0.08,0.06,0.00,0.14,0.00,0.00,0.04,0.00
1014,Dec-17,1014 43070,78684175,729725,93407000,77954450,359474550,0,352055135,0,0,182642402,0,2489282,8148840,0,33801967,0,44871005,0,0,7578322,0,0.03,0.09,0.09,0.00,0.13,0.00,0.00,0.04,0.00
1014,Jun-18,1014 43252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1014,Dec-18,1014 43435,18056517,0,77235838,18056517,346102105,0,82266333,0,0,95219638,0,12066031,17440754,0,40071323,0,18487707,0,0,6179890,0,0.67,0.23,0.12,0.00,0.22,0.00,0.00,0.06,0.00
1014,Dec-19,1014 43800,17635128,0,56818181,17635128,345951516,0,69260305,0,0,83422696,0,819454,6799087,0,35113812,0,8230394,0,0,4544104,0,0.05,0.12,0.10,0.00,0.12,0.00,0.00,0.05,0.00
1014,Dec-20,1014 44166,5875649,196579,42496195,5679070,379018848,0,62755474,0,0,55215052,0,1868066,6508310,0,37448052,0,7275462,0,0,2604520,0,0.32,0.15,0.10,0.00,0.12,0.00,0.00,0.05,0.00
1014,Dec-21,1014 44531,8180197,0,6915041,8180197,416063825,0,94796097,0,0,43540823,0,1139833,895061,0,40568888,0,10352480,0,0,1860295,0,0.14,0.13,0.10,0.00,0.11,0.00,0.00,0.04,0.00
1014,Dec-22,1014 44896,5227637,0,938483,5227637,454663829,0,77176005,0,0,31320808,0,330285,102968,0,44417667,0,10120033,0,0,2276601,0,0.06,0.11,0.10,0.00,0.13,0.00,0.00,0.07,0.00
1016,Dec-13,1016 41609,0,0,0,0,49896098,0,0,0,0,0,0,0,0,0,5763230,0,0,0,0,0,0,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00
1016,Dec-14,1016 41974,0,0,0,0,54667150,0,0,0,0,0,0,0,0,0,5629952,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
1016,Dec-15,1016 42339,0,0,0,0,70238344,0,0,0,0,0,0,0,0,0,5054568,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1016,Dec-16,1016 42705,0,0,0,0,75205475,0,0,0,0,0,0,0,0,0,5465690,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1016,Mar-17,1016 42795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1016,Dec-17,1016 43070,0,0,0,0,83570124,0,0,0,0,0,0,0,0,0,7982828,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
1016,Dec-18,1016 43435,0,0,0,0,93594546,0,0,0,0,0,0,0,0,0,5618076,0,0,0,0,0,0,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00
1016,Dec-19,1016 43800,0,0,0,0,98219118,0,0,0,0,0,0,0,0,0,8133287,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1016,Dec-20,1016 44166,0,0,0,0,107658539,0,0,0,0,0,0,0,0,0,7046579,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1016,Dec-21,1016 44531,0,0,0,0,127301774,0,0,0,0,0,0,0,0,0,11195329,0,0,0,0,0,0,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00
